Social Foundation,Abreviation,Indicator and Unit,California,Desirable,Shortfall,Average,Year (Measured / Published),Reference,Link,Notes
Connectivity & Transportation,Connectivity (Internet Access),"1. Percent of households without any internet subscription or access through cellphone-only",16.9%,0%,16.9%,28%,2023 / 2024,"1) U.S. Census Bureau. (n.d.). California households without internet access [Data table].",1) https://data.census.gov/table?q=california%20without%20internet,
Connectivity & Transportation,Transportation (Transit Report Card),"2. Report card scores on vehicle miles traveled and transit access only",6,10,40.0%,,2021 / 2021,"1) Transportation for America. (n.d.). Transit report card.",1) https://t4america.org/transit-report-card/,
Education,Literacy Rate,"1. Percent of people 16-74 with literacy proficiency at or below Level 1",28%,0%,28.0%,37%,2017 / 2018?,"1) Institute of Education Sciences, National Center for Education Statistics.",1) https://nces.ed.gov/surveys/piaac/skillsmap/src/PDF/STATE.pdf,
Education,Student Loan Debt,"2. Percent of college graduates with student loan debt",46%,0%,46.0%,,2020 / 2021,"1) The Institute for College Access & Success. (2021).",1) https://ticas.org/wp-content/uploads/2021/11/Student-Debt-for-College-Graduates-in-California.pdf,
Energy,Energy Burden,"1. Percent of households whose energy bill was >=10% of household income",19.6%,0%,19.6%,13%,2022 / 2023,"1) Fisher, Sheehan & Colton. (2023). Home Energy Affordability Gap.",1) http://www.homeenergyaffordabilitygap.com/03a_affordabilityData.html,
Energy,Energy Reliability,"2. Percent of population living in counties with average total outage time of 6 hours or more per year",7%,0%,7.0%,,2023 / 2025,"1) Murphy, P. & Kwoka, B. (in preparation). Equity-adjusted value of lost load.",1) https://doi.org/10.6084/m9.figshare.24237376.v2,
Equity,Racial Equity Index,"1. Inclusion score based on racial gaps in economic vitality, readiness, and connectedness",60,100,40.0%,26%,2023 / 2024,"1) PolicyLink & USC Equity Research Institute. (2024). Racial Equity Index.",1) https://nationalequityatlas.org/research/racial_equity_index/index,
Equity,Gender Pay Gap,"2. Percent of men's median wage earned by women for full-time year-round work",87.1%,100%,12.9%,,2023 / 2023,"1) U.S. Census Bureau. (2023). What is the gender wage gap in your state?",1) https://www.census.gov/library/stories/2022/03/what-is-the-gender-wage-gap-in-your-state.html,
Food,Food Insecurity,"1. Percent of households who live with food insecurity",,0%,11.4%,26%,2023 / 2024,"1) USDA Economic Research Service. Food security in the U.S.",1) https://www.ers.usda.gov/topics/food-nutrition-assistance/food-security-in-the-u-s/interactive-charts-and-highlights/#States,
Food,Vegetables per Day,"2. Percent of adults who eat >=1 serving(s) of vegetables per day",,100%,40.8%,,2022 / 2023,"1) California Department of Public Health. California community obesity profiles.",1) https://www.cdph.ca.gov/Programs/CCDPHP/DCDIC/NEOPB/Pages/SNAPEdCountyProfileDashboard.aspx,
Health,Life Expectancy,"1. Percent of population living in counties with life expectancy below OECD average (80.9 years)",32.45%,0%,32.5%,43%,2023 / 2025,"1) County Health Rankings and Roadmaps. Life Expectancy in California. Year: 2023.",1) https://www.countyhealthrankings.org/health-data/population-health-and-well-being/length-of-life/life-span/life-expectancy?state=06&tab=1&year=2023,
Health,Healthcare Affordability,"2. Percent of adults who delayed, skipped, or reduced their utilization of health care due to costs",53%,0%,53.0%,,2023 / 2023,"1) California Health Care Foundation. Understanding California's health care affordability crisis.",1) https://www.chcf.org/resource-center/understanding-californias-health-care-affordability-crisis/impact-on-californians/,
Housing,Homelessness,"1. Point-in-time count of unhoused people",,0%,35.9%,45%,2024 / 2024,"1) HUD. (2024). Continuum of care homeless populations report: California 2024.",1) https://files.hudexchange.info/reports/published/CoC_PopSub_State_CA_2024.pdf,
Housing,Housing Cost Burden,"2. Percent of renters with housing costs that exceed 30% of household income",55%,0%,55.0%,,2018 / 2020?,"1) Public Policy Institute of California. Californians and the housing crisis.",1) https://www.ppic.org/interactive/californians-and-the-housing-crisis/,
Income & Work,Poverty,"1. Percent of people experiencing poverty defined by supplemental poverty rate (3-year average)",,0%,15.4%,12%,2021-2023 / 2024,"1) U.S. Census Bureau. (2024). Supplemental poverty measure.",1) https://www.census.gov/library/stories/2024/09/supplemental-poverty-measure-states.html,
Income & Work,Unemployment (U-6),"2. Percent of unemployed people including workers employed part-time for economic reasons and those marginally attached to the labor force",,0%,9.3%,,2023 / 2024,"1) Bureau of Labor Statistics. (2024). Alternative measures of labor underutilization in California.",1) https://www.bls.gov/regions/west/news-release/laborunderutilization_california.htm,
Peace & Justice,Violent Crime,"1. Percent of CA people living in counties with a violent crime rate above 200 incidents per 100000 residents",99.9%,0%,99.9%,82%,2023 / 2025,"1) California Department of Justice. OpenJustice: Crime data and statistics.",1) https://openjustice.doj.ca.gov/,
Peace & Justice,Police Scorecard,"2. Averaged score for police funding, accountability, violence, and approach to law enforcement",35%,100%,65.0%,,2023 / 2024,"1) Police Scorecard. California.",1) https://policescorecard.org/ca,
Political Voice,Voter Turnout,"1. Percent of eligible voter turnout",60.0%,100%,40.0%,28%,2024 / 2024,"1) California Secretary of State. Historical Voter Registration and Participation.",1) https://elections.cdn.sos.ca.gov/sov/2024-general/sov/04-historical-voter-reg-general.pdf,
Political Voice,Registered Voters,"2. Percent of eligible voters who are not registered to vote",16.0%,0%,16.0%,,2024 / 2024,"1) California Secretary of State. (2024). Historical voter registration statistics.",1) https://elections.cdn.sos.ca.gov/ror/15day-presprim-2024/historical-reg-stats.pdf,
Social Cohesion,Income Inequality,"1. Percent of people living in counties with a Gini Index below 0.30",0%,100%,100.0%,63%,2023 / 2023,"1) U.S. Census Bureau. Gini Index of Income Inequality, ACS 5-Year Estimates.",1) https://data.census.gov/table/ACSDT5Y2023.B19083?q=gini+in+california+counties,
Social Cohesion,Report Not Happy,"2. Percent of people who report they are not too happy",26%,0%,26.0%,,2023 / 2024,"1) Baldassare, M., et al. (2023). PPIC Statewide Survey.",1) https://www.ppic.org/publication/ppic-statewide-survey-californians-and-their-government-september-2023/,
Water & Sanitation,Water Quality,"1. Percent of people who receive water from systems that do not meet drinking water quality standards",,0%,2.2%,1%,2025 / 2025,"1) California State Water Resources Control Board. SAFER dashboard.",1) https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/saferdashboard.html,
Water & Sanitation,Sanitation Access,"2. Percent of people who lack basic access to sanitation",,0%,0.57%,,2019 / 2020,"1) Capone, D., et al. (2020). Water and sanitation in urban America.",1) https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2020.305833,
